agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color
RER,A,"Marne la Vallée Chessy, Boissy St-Léger / St-Germain en Laye, Poissy, Cergy",,2,,D1302F
RTP,4,(2020) Porte de Clignancourt - Bagneux,En service à partir de 2020,1,,BB4D98
RTP,1,Château de Vincennes - La Défense,,1,,F2C931
RER,B,"Aéroport CDG, Mitry Claye, Aulnay sous Bois, Robinson, Massy Palaiseau, St-Rémy lès Chevreuse",,2,,427DBD
RTP,10,Boulogne Pont de Saint-Cloud - Gare d'Austerlitz,,1,,DFB039
TER,Bus,Bus de Remplacement,,2,,18964C
RTP,101,Joinville-le-Pont - Champigny Camping International,,3,,ffcd01
RTP,102,Gambetta - Rosny-Bois Perrier,,3,,ffcd01
RER,C,"Pontoise, Versailles Château,Chantiers, St-Quentin, Paris Austerlitz, Dourdan, Massy(Orly),St-Marti",,2,,FCD946
RTP,103,Ecole Vétérinaire de Maisons-Alfort - Rungis Marché International,,3,,f68f4b
RTP,104,Ecole Vétérinaire de Maisons-Alfort - Bonneuil Place des Libertés,,3,,ed1b2a
RER,C (Bus),"Pontoise, Versailles Château,Chantiers, St-Quentin, Paris Austerlitz, Dourdan, Massy(Orly),St-Marti",,3,,FCD946
RER,D,"Orry,Villiers, Paris Nord, Paris Gare de Lyon, Combs, Melun, Evry, Ris Orangis, Corbeil,Malesherbes",,2,,5E9620
RTP,105,Porte des Lilas - Mairie des Pavillons-sous-Bois,,3,,f68f4b
RTP,106,Joinville-le-Pont - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,ed1b2a
RER,D (Bus),"Orry,Villiers, Paris Nord, Paris Gare de Lyon, Combs, Melun, Evry, Ris Orangis, Corbeil,Malesherbes",,3,,5E9620
RER,E,"Haussmann Saint-Lazare, Chelles Gournay, Tournan",,2,,BD76A1
RTP,107,Ecole Vétérinaire de Maisons-Alfort - St-Maur-Créteil - St-Maur La Pie,,3,,f59eb3
RTP,108,Joinville-le-Pont - Champigny Jeanne Vacher,,3,,f59eb3
RTP,109,Terroirs de France - Charenton Pont Nelson Mandela,,3,,cec92a
TN,H,"Paris Nord, Ermont Eaubonne, Pontoise, Valmondois, Persan Beaumont, Montsoult, Luzarches, Creil",,2,,7B4339
RTP,11,Mairie des Lilas - Châtelet,,1,,8E6538
RTP,110,Joinville-le-Pont - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,652c90
TN,H (Bus),"Paris Nord, Ermont Eaubonne, Pontoise, Valmondois, Persan Beaumont, Montsoult, Luzarches, Creil",,3,,7B4339
